time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.76477648601e-09,3.10574103756e-07,10.0003781643,0.000324891069005,4.11090414509e-06,0.0,-2.75540163035e-07,2.63799748458e-05,0.0126052694401,0.0144942767133,0.000205206089653,0.0,407.99868093732294,408.016996623158,407.8101111271645,409.1024242616589
0.12000000000000001,-6.39244057893e-07,1.06378126277e-05,10.0016330972,0.00101044899747,0.000491081508563,0.0,-4.64022673593e-05,0.000388336997132,0.0292253102809,0.00444843250401,0.0205045808554,0.0,407.78364193622735,409.59253863214724,410.94222714750634,410.05083866645606
0.18,-2.10911897215e-05,5.95382806226e-05,10.0099178699,0.00123217371867,0.00195511216795,0.0,-0.000797370518308,0.00127088985178,0.246911127898,0.00214506036987,0.0312324627581,0.0,471.64256286822797,472.4702867089031,473.5805213361971,473.4032785525279
0.23999999999999996,-0.00010925482692,0.000157737403616,10.0245863322,0.00127020042539,0.00383918451052,0.0,-0.0023039156506,0.00200978462381,0.242038285803,-0.0025746629702,0.0317365092247,0.0,401.961311614997,402.0074411369467,402.8751944159539,402.44828591987823
0.3,-0.000355831101301,0.000310710339077,10.0472945715,0.00135018356993,0.00535381490022,0.0,-0.00613943026833,0.00308568369323,0.514818920999,0.00818442076848,0.0072732085149,0.0,489.31828862829195,487.49409921689954,488.70026871809597,489.50141982086456
0.36000000000000004,-0.000825398688365,0.000522771679022,10.079160683,0.00192501946507,0.00563911041254,0.0,-0.00954645323216,0.00403217257876,0.547369229306,0.0122361563911,-0.000828935936146,0.0,415.7377325342958,415.0272497827628,414.9153958561432,415.2707903761691
0.4200000000000001,-0.0015025260341,0.000802836575846,10.1128213303,0.00273180433277,0.00591246847119,0.0,-0.0130361736747,0.00537368611458,0.574638570947,0.0157631893404,0.013593001673,0.0,412.81053287342354,414.0809365264634,413.4094317774209,413.7199463792656
0.48000000000000015,-0.00240860568568,0.00118502674968,10.1500854887,0.00315715250666,0.00663634321555,0.0,-0.0172440809458,0.00744728574924,0.667449166692,-0.0223908359484,0.00881776089462,0.0,435.27145014340806,434.87158062844804,436.47711809209363,433.281687159845
0.5400000000000001,-0.00358961633073,0.00169485381652,10.1941657135,0.0016054164768,0.00742263683318,0.0,-0.0221940422307,0.0093928539034,0.801806460932,-0.0339097598491,0.0205349031231,0.0,447.75688219279607,448.7088600915181,448.54009963278287,447.60363545333536
0.6000000000000002,-0.00509087976943,0.00228587498857,10.2467910341,6.2829514334,0.00858743920122,0.0,-0.027978533178,0.0100964129831,0.952256422694,-0.0248327013827,0.0170704762707,0.0,453.5819547900216,453.3036333825014,452.80047123983104,453.5297044144266
0.6600000000000003,-0.00699701827228,0.00288007166118,10.3121570601,6.28086163529,0.00915020441986,0.0,-0.0356689664922,0.00951798442126,1.22635687021,-0.0832939813287,-0.0141000997789,0.0,490.99553535838777,488.67777413432566,492.2679836120711,487.92217319372713
0.7200000000000003,-0.00933237031649,0.00338173501866,10.389767082,6.27659410995,0.00844808714826,0.0,-0.0420923656107,0.00671635028385,1.36049251662,-0.0539667112019,-0.00729197494786,0.0,448.9575040753345,449.5096134761665,447.7966181518018,450.17151789922394
0.7800000000000004,-0.0119996298978,0.00366295174525,10.4706639772,6.27327403499,0.00758366424466,0.0,-0.0467675602079,0.00238335709198,1.33609795923,-0.0582199158186,-0.0350629294736,0.0,398.56063028852043,396.0145554666551,397.7037135125857,397.3115263714758
0.8400000000000004,-0.0149677017479,0.00356897095246,10.5556073295,6.26961393081,0.00590501176996,0.0,-0.0519605680582,-0.0059093094635,1.49514965907,-0.0672407972881,-0.0166378145916,0.0,456.3348740599585,457.802901537288,457.34580366933454,456.6242385267455
0.9000000000000005,-0.0182282329559,0.00285798972157,10.6525423788,6.26541880094,0.0052498834081,0.0,-0.0566228255404,-0.018289746452,1.73567817361,-0.0758961488704,-0.00141257221832,0.0,481.4946207690699,482.64510052887374,481.43872931466194,480.7801109064818
0.9600000000000005,-0.0217599270816,0.00128297488694,10.7646830308,6.26071928507,0.0048713189471,0.0,-0.0610719239153,-0.034787769094,2.00190515668,-0.0836860662359,-0.0185512866199,0.0,491.15303937481275,489.88047947073176,489.0968539370887,488.5120674054901
1.0200000000000005,-0.0255208189933,-0.0012845865929,10.8876771241,6.2559718701,0.00426809550805,0.0,-0.064207353251,-0.0512874113682,2.09771494059,-0.0712852289866,0.00305206157025,0.0,438.7206269899272,440.51068003773327,438.9449974444525,439.9676860422669
1.0800000000000005,-0.0294620774563,-0.00493874793082,11.0164742847,6.25140530192,0.00453131860858,0.0,-0.0671900027937,-0.0709598234734,2.19532742012,-0.0881103202474,0.006931737938,0.0,441.4249895922755,441.7449331920999,440.12324928879644,438.7237880579897
1.1400000000000006,-0.0335754146764,-0.00977681855737,11.1482470158,6.2459406648,0.00511756161446,0.0,-0.0699655656099,-0.0907785073204,2.19707620998,-0.097786813558,0.0149172775367,0.0,408.73959440759324,409.45051393019594,410.40126320431807,409.5337201460944
1.2000000000000006,-0.0378816200796,-0.0160067508525,11.2828483926,6.24046520799,0.00611411202787,0.0,-0.0736693312495,-0.117448439549,2.28943085436,-0.0806537311493,0.0197945527762,0.0,438.74035423107176,439.1450101572345,439.0069203568573,440.4189405643148
